cvrnum;employees;established;pubyear;liquidityratio;roi;solvencyratio;netturnover;grossprofit;equity;netresult;currency;
10647177;5 - 9;1987;2019;247,49;30,3;59,2;-;4.774;2.919;1.133;DKK;
10647983;10 - 19;1987;2019;79,87;-3,2;7,8;-;6.789;860;-455;DKK;
37839825;2 - 4;2016;2019;43,18;-11,7;20,6;-;1.018;574;-351;DKK;
10648939;10 - 19;1987;2019;493,48;-12,1;80;-;8.061;40.254;-3.250;DKK;
10656575;50 - 99;1987;2019;154,35;21,6;45,8;-;61.888;35.390;11.967;DKK;
10658284;20 - 49;1987;2019;60,08;-4,4;27,6;-;3.404;34.155;-3.735;DKK;
10662478;10 - 19;1987;2019;139,98;14,7;37,5;-;3.873;2.371;720;DKK;
10664195;100 - 199;1987;2019;106,69;4,9;15,5;310.714;21.650;28.044;6.595;DKK;
10676096;200 - 499;1987;2019;207,52;1,2;58;213.394;37.109;109.438;3.810;DKK;
10681588;50 - 99;1987;2019;127,33;3,7;21,6;-;10.733;9.747;1.075;DKK;
10690609;5 - 9;1987;2019;657,03;-6,6;84,7;-;2.380;3.917;-237;DKK;
10701732;50 - 99;1987;2019;108,75;24,9;32,8;-;95.601;37.350;16.298;DKK;
10722233;20 - 49;1987;2019;71,39;-13,4;9,8;-;5.803;350;-387;DKK;
54974817;100 - 199;1975;2019;173,05;17,7;40,9;-;26.658;22.174;8.428;DKK;
10766141;10 - 19;1987;2019;88,72;-26,2;15;-;3.732;330;-485;DKK;
10772249;10 - 19;1987;2019;155,66;3,6;38,1;-;7.424;6.963;410;DKK;
10775345;100 - 199;1987;2020;158,3;8;35,4;-;112.436;28.537;5.022;DKK;
10775833;20 - 49;1987;2018;49,19;-0,7;55,6;25.603;17.850;153.833;28.847;DKK;
10801370;5 - 9;1987;2019;169,58;6,8;41,2;-;3.536;1.602;151;DKK;
10810876;50 - 99;1987;2019;141,66;1,7;25,6;-;38.542;32.200;531;DKK;
10821002;20 - 49;1987;2019;164,64;11,1;47,5;-;5.290;8.914;3.300;DKK;
10825598;200 - 499;1987;2019;105,28;5,9;30,9;500.542;219.544;92.729;11.849;DKK;
32146996;2 - 4;2009;2019;179,65;19,5;42,9;-;2.301;919;303;DKK;
26770254;50 - 99;2002;2019;86,44;-6,7;0;42.351;17.069;4;38.941;DKK;
10839505;20 - 49;1987;2019;80,93;-10,4;1,2;-;6.970;69;-552;DKK;
33368070;10 - 19;2010;2019;127,84;34,9;24,8;-;8.609;2.840;3.021;DKK;
38017101;20 - 49;2016;2019;85,23;11;36,8;-;32.056;22.024;4.678;DKK;
10859395;20 - 49;1987;2019;128,33;7;30,6;-;12.224;5.492;839;DKK;
43423010;200 - 499;1935;2018;75,13;-3,2;83,3;366.597;81.780;1.079.775;24.186;DKK;
10859581;200 - 499;1987;2019;111,85;0,4;17,4;1.260.124;207.284;105.686;784;DKK;
10861780;20 - 49;1987;2019;149,65;12,5;39;-;11.907;6.505;1.505;DKK;
10866111;200 - 499;1968;2017;155,23;1,6;29,6;999.773;419.946;957.669;37.220;DKK;
10875285;2 - 4;1987;2019;133,56;16;25,5;-;-;464;139;DKK;
10898234;20 - 49;1987;2019;182,49;14,9;41,3;-;18.885;7.464;2.131;DKK;
10902983;5 - 9;1987;2019;290,78;-1,5;65,2;-;1.471;2.213;-41;DKK;
10909406;5 - 9;1987;2019;158,69;3,5;40,7;-;3.613;19.600;-3.734;DKK;
