pnum;cvrnum;edunum;postalcode;municipalitycode;regioncode;regionyearofmeasurement;regionpopulation;approvalamount;currentamount;propensity;nearestfacilitykm;sectorcode;businesscode;employees;established;committeecode;municipalityyearofmeasurement;municipalitypopulation;avgcommutekm;employmentrate;employmentavailabilityrate;yearlydisposableincome;pubyear;liquidityratio;roi;solvencyratio;netturnover;grossprofit;equity;netresult;balance;currency
1016856033;33639317;1235;8464;746;1082;2019;1326913;3.0;3.0;1.0;105.9;282200.0;60.0;500.0;2011.0;61;2018;62479;24.7;80.8;82.5;259984.0;2018.0;183.12;9.0;53.0;916036.0;108053.0;284360.0;36174.0;;DKK
1016856009;33639317;1190;8464;746;1082;2019;1326913;4.0;0.0;0.0;27.6;282200.0;60.0;500.0;2011.0;61;2018;62479;24.7;80.8;82.5;259984.0;2018.0;183.12;9.0;53.0;916036.0;108053.0;284360.0;36174.0;;DKK
1016856009;33639317;1110;8464;746;1082;2019;1326913;6.0;2.0;0.333333333333333;27.3;282200.0;60.0;500.0;2011.0;61;2018;62479;24.7;80.8;82.5;259984.0;2018.0;183.12;9.0;53.0;916036.0;108053.0;284360.0;36174.0;;DKK
1016822376;33639317;1110;8270;751;1082;2019;1326913;10.0;6.0;0.6;9.3;282200.0;60.0;500.0;2011.0;61;2018;349977;21.2;70.5;73.4;234439.0;2018.0;183.12;9.0;53.0;916036.0;108053.0;284360.0;36174.0;;DKK
1016827157;33640234;92;4700;370;1085;2019;837087;1.0;1.0;1.0;3.9;451120.0;80.0;20.0;2011.0;61;2018;83156;30.5;74.2;76.9;223879.0;2019.0;121.35;-7.2;25.7;;5050.0;2756.0;-785.0;;DKK
1016829257;33640706;1110;2605;153;1084;2019;1848989;4.0;1.0;0.25;7.2;251100.0;80.0;10.0;2011.0;61;2018;35143;13.7;70.2;74.1;211029.0;2019.0;141.07;15.3;33.4;;5588.0;1314.0;470.0;;DKK
1016832258;33641435;1280;2200;101;1084;2019;1848989;1.0;0.0;0.0;3.3;477700.0;80.0;;2011.0;61;2018;633021;12.6;73.2;76.2;228338.0;2018.0;193.45;10.7;36.6;;250.0;606.0;116.0;;DKK
1016835052;33642091;1205;8230;751;1082;2019;1326913;2.0;0.0;0.0;6.6;620100.0;60.0;10.0;2011.0;61;2018;349977;21.2;70.5;73.4;234439.0;2019.0;202.43;0.0;49.6;;8441.0;2771.0;111.0;;DKK
1016852399;33646178;92;4600;259;1085;2019;837087;2.0;0.0;0.0;27.8;452010.0;60.0;2.0;2011.0;61;2018;60836;25.7;77.1;79.5;236936.0;2019.0;94.12;11.9;42.5;;1165.0;1257.0;236.0;;DKK
1021672552;37939838;1205;2300;101;1084;2019;1848989;2.0;0.0;0.0;11.8;823000.0;60.0;;2016.0;61;2018;633021;12.6;73.2;76.2;228338.0;2019.0;68.17;-6.1;47.0;892243.0;339705.0;219695.0;-23493.0;;DKK
1016853263;33646658;92;7280;657;1082;2019;1326913;4.0;0.0;0.0;19.7;452010.0;80.0;2.0;2011.0;61;2018;89085;22.3;76.8;79.2;229212.0;2019.0;77.09;3.2;24.8;;1352.0;668.0;38.0;;DKK
1016854545;33646925;1205;6700;561;1083;2019;1223894;2.0;0.0;0.0;96.1;691000.0;70.0;50.0;2011.0;61;2018;115565;21.5;74.6;77.0;224598.0;2019.0;262.09;5.3;62.2;;107090.0;98093.0;7790.0;;DKK
1016855053;33647093;1220;6310;540;1083;2019;1223894;2.0;1.0;0.5;12.8;282900.0;60.0;20.0;2011.0;61;2018;74233;20.1;72.9;75.3;215616.0;2019.0;702.98;-33.7;82.5;;3695.0;18578.0;-7536.0;;DKK
1016857757;33647921;92;8310;751;1082;2019;1326913;3.0;3.0;1.0;5.6;451120.0;60.0;20.0;2011.0;61;2018;349977;21.2;70.5;73.4;234439.0;2019.0;158.73;16.0;33.3;;15669.0;11393.0;4408.0;;DKK
1016864346;33649444;1190;4900;360;1085;2019;837087;1.0;0.0;0.0;54.7;432200.0;80.0;20.0;2011.0;61;2018;41294;29.4;64.3;67.4;193056.0;2019.0;147.44;4.3;36.0;;7129.0;2668.0;48.0;;DKK
1016864346;33649444;1110;4900;360;1085;2019;837087;3.0;2.0;0.666666666666667;2.0;432200.0;80.0;20.0;2011.0;61;2018;41294;29.4;64.3;67.4;193056.0;2019.0;147.44;4.3;36.0;;7129.0;2668.0;48.0;;DKK
1016866993;33650345;1260;2820;157;1084;2019;1848989;2.0;0.0;0.0;16.4;476420.0;80.0;;2011.0;61;2018;75041;13.7;76.6;78.7;427370.0;2019.0;1.31;-32.9;-7507.5;;-6.0;-4042.0;-100.0;;DKK
1022015113;38262076;92;3200;219;1084;2019;1848989;2.0;1.0;0.5;15.9;452010.0;80.0;5.0;2016.0;61;2018;51203;20.8;79.0;81.0;262199.0;2019.0;73.7;4.3;-3.4;;1283.0;-74.0;69.0;;DKK
1003040903;33738811;93;4600;259;1085;2019;837087;8.0;2.0;0.25;43.6;451920.0;60.0;50.0;1971.0;61;2018;60836;25.7;77.1;79.5;236936.0;2019.0;113.86;0.1;21.0;174944.0;33905.0;24661.0;-161.0;;DKK
1003040915;33738811;93;8766;756;1082;2019;1326913;5.0;2.0;0.4;36.8;451920.0;60.0;50.0;1971.0;61;2018;41506;23.0;76.2;78.5;221583.0;2019.0;113.86;0.1;21.0;174944.0;33905.0;24661.0;-161.0;;DKK
1003040903;33738811;1250;4600;259;1085;2019;837087;3.0;0.0;0.0;43.6;451920.0;60.0;50.0;1971.0;61;2018;60836;25.7;77.1;79.5;236936.0;2019.0;113.86;0.1;21.0;174944.0;33905.0;24661.0;-161.0;;DKK
1022893242;38980548;1110;4000;169;1084;2019;1848989;4.0;0.0;0.0;3.5;332000.0;80.0;5.0;2017.0;61;2018;50964;17.2;74.4;77.5;225609.0;2019.0;109.81;15.0;6.4;;5494.0;315.0;281.0;;DKK
1016871865;33746091;1110;8920;730;1082;2019;1326913;8.0;3.0;0.375;7.9;251100.0;60.0;20.0;2011.0;61;2018;97886;23.9;73.9;76.5;216009.0;2018.0;139.31;10.4;19.4;;17058.0;8012.0;1799.0;;DKK
